Город,Численность_населения_города,Административный_центр,Город_миллионник,Крупнейший_город,Крупный_город,Большой_город,Средний_город
Абаза,17111.0,0,0,0,0,0,0
Абакан,165183.0,1,0,0,0,1,0
Абдулино,20183.0,0,0,0,0,0,0
Абинск,34926.0,0,0,0,0,0,0
Агидель,16365.0,0,0,0,0,0,0
Агрыз,19299.0,0,0,0,0,0,0
Адыгейск,12248.0,0,0,0,0,0,0
Азнакаево,34859.0,0,0,0,0,0,0
Азов,82882.0,0,0,0,0,0,1
Ак-Довурак,13469.0,0,0,0,0,0,0
Аксай,41984.0,0,0,0,0,0,0
Алагир,20949.0,0,0,0,0,0,0
Алапаевск,38198.0,0,0,0,0,0,0
Алатырь,38202.0,0,0,0,0,0,0
Алдан,21277.0,0,0,0,0,0,0
Алейск,29512.0,0,0,0,0,0,0
Александров,61544.0,0,0,0,0,0,1
Александровск,14502.0,0,0,0,0,0,0
Александровск-Сахалинский,10613.0,0,0,0,0,0,0
Алексеевка,39026.0,0,0,0,0,0,0
Алексин,61738.0,0,0,0,0,0,1
Алзамай,6751.0,0,0,0,0,0,0
Альметьевск,146309.0,0,0,0,0,1,0
Амурск,42977.0,0,0,0,0,0,0
Анадырь,13053.0,1,0,0,0,0,0
Анапа,58983.0,0,0,0,0,0,1
Ангарск,233765.0,0,0,0,0,1,0
Андреаполь,8265.0,0,0,0,0,0,0
Анжеро-Судженск,76669.0,0,0,0,0,0,1
Анива,9113.0,0,0,0,0,0,0
Апатиты,59690.0,0,0,0,0,0,1
Апрелевка,18467.0,0,0,0,0,0,0
Апшеронск,40229.0,0,0,0,0,0,0
Арамиль,14227.0,0,0,0,0,0,0
Аргун,29528.0,0,0,0,0,0,0
Ардатов,9400.0,0,0,0,0,0,0
Ардон,18774.0,0,0,0,0,0,0
Арзамас,106367.0,0,0,0,0,1,0
Аркадак,12846.0,0,0,0,0,0,0
Армавир,188897.0,0,0,0,0,1,0
Арсеньев,56742.0,0,0,0,0,0,1
Арск,18114.0,0,0,0,0,0,0
Артём,102636.0,0,0,0,0,1,0
Артёмовск,2180.0,0,0,0,0,0,0
Артёмовский,33136.0,0,0,0,0,0,0
Архангельск,348716.0,1,0,0,1,0,0
Асбест,68914.0,0,0,0,0,0,1
Асино,25614.0,0,0,0,0,0,0
Астрахань,520662.0,1,0,1,0,0,0
Аткарск,25620.0,0,0,0,0,0,0
Ахтубинск,41898.0,0,0,0,0,0,0
Ачинск,109156.0,0,0,0,0,1,0
Аша,31916.0,0,0,0,0,0,0
Бабаево,12074.0,0,0,0,0,0,0
Бабушкин,4839.0,0,0,0,0,0,0
Бавлы,22109.0,0,0,0,0,0,0
Багратионовск,6399.0,0,0,0,0,0,0
Байкальск,13589.0,0,0,0,0,0,0
Баймак,17710.0,0,0,0,0,0,0
Бакал,20953.0,0,0,0,0,0,0
Баксан,36857.0,0,0,0,0,0,0
Балабаново,26337.0,0,0,0,0,0,0
Балаково,199576.0,0,0,0,0,1,0
Балахна,51526.0,0,0,0,0,0,1
Балашиха,215353.0,0,0,0,1,0,0
Балашов,82222.0,0,0,0,0,0,1
Балей,12536.0,0,0,0,0,0,0
Балтийск,32670.0,0,0,0,0,0,0
Барабинск,30394.0,0,0,0,0,0,0
Барнаул,612091.0,1,0,1,0,0,0
Барыш,17149.0,0,0,0,0,0,0
Батайск,111856.0,0,0,0,0,1,0
Бежецк,24517.0,0,0,0,0,0,0
Белая Калитва,43688.0,0,0,0,0,0,0
Белая Холуница,11232.0,0,0,0,0,0,0
Белгород,356426.0,1,0,0,1,0,0
Белебей,60183.0,0,0,0,0,0,1
Белинский,8567.0,0,0,0,0,0,0
Белово,76752.0,0,0,0,0,0,1
Белогорск,68220.0,0,0,0,0,0,1
Белозерск,9614.0,0,0,0,0,0,0
Белокуриха,14660.0,0,0,0,0,0,0
Беломорск,11217.0,0,0,0,0,0,0
Белорецк,68804.0,0,0,0,0,0,1
Белореченск,53891.0,0,0,0,0,0,1
Белоусово,8432.0,0,0,0,0,0,0
Белоярский,20283.0,0,0,0,0,0,0
Белый,3771.0,0,0,0,0,0,0
Белёв,13918.0,0,0,0,0,0,0
Бердск,97288.0,0,0,0,0,0,1
Березники,156512.0,0,0,0,0,1,0
Берёзовский,49437.5,0,0,0,0,0,1
Беслан,36724.0,0,0,0,0,0,0
Бийск,210055.0,0,0,0,0,1,0
Бикин,17156.0,0,0,0,0,0,0
Билибино,5504.0,0,0,0,0,0,0
Биробиджан,75419.0,1,0,0,0,0,1
Бирск,41637.0,0,0,0,0,0,0
Бирюсинск,8981.0,0,0,0,0,0,0
Бирюч,7842.0,0,0,0,0,0,0
