Год,Месяц,Квартал,Регион,МРОТ_бюджетная_сфера,МРОТ_внебюджетная_сфера,Регистрируемая_безработица,Общая_безработица,Рабочая_сила,Уровень_цен,Минимальный_районный_коэффициент,Максимальный_районный_коэффициент,Площадь_региона,Доля_городского_населения,Количество_юр_лиц
2015,1,1,Белгородская область,7279.0,7279.0,0.9,4.3,798.9,8217,1.0,1.0,27134,67.49,37.7
2015,2,1,Белгородская область,7279.0,7279.0,1.0,4.3,798.9,8217,1.0,1.0,27134,67.49,37.7
2015,3,1,Белгородская область,7279.0,7279.0,1.1,4.3,798.9,8217,1.0,1.0,27134,67.49,37.7
2015,4,2,Белгородская область,7279.0,7279.0,1.1,4.1,803.0,8329,1.0,1.0,27134,67.49,37.7
2015,5,2,Белгородская область,7279.0,7279.0,1.1,4.1,803.0,8329,1.0,1.0,27134,67.49,37.7
2015,6,2,Белгородская область,7279.0,7279.0,1.0,4.1,803.0,8329,1.0,1.0,27134,67.49,37.7
2015,7,3,Белгородская область,7279.0,7279.0,1.0,3.9,808.2,8073,1.0,1.0,27134,67.49,37.7
2015,8,3,Белгородская область,7279.0,7279.0,0.9,3.9,808.2,8073,1.0,1.0,27134,67.49,37.7
2015,9,3,Белгородская область,7279.0,7279.0,0.9,3.9,808.2,8073,1.0,1.0,27134,67.49,37.7
2015,10,4,Белгородская область,7279.0,7279.0,0.8,3.9,815.5,7918,1.0,1.0,27134,67.49,37.7
2015,11,4,Белгородская область,7279.0,7279.0,0.8,3.9,815.5,7918,1.0,1.0,27134,67.49,37.7
2015,12,4,Белгородская область,7279.0,7279.0,0.9,3.9,815.5,7918,1.0,1.0,27134,67.49,37.7
2015,1,1,Брянская область,6500.0,6500.0,1.1,4.9,616.9,8776,1.0,1.0,34857,70.43,31.69
2015,2,1,Брянская область,6500.0,6500.0,1.2,4.9,616.9,8776,1.0,1.0,34857,70.43,31.69
2015,3,1,Брянская область,6500.0,6500.0,1.2,4.9,616.9,8776,1.0,1.0,34857,70.43,31.69
2015,4,2,Брянская область,6500.0,6500.0,1.2,5.0,618.4,9138,1.0,1.0,34857,70.43,31.69
2015,5,2,Брянская область,6500.0,6500.0,1.3,5.0,618.4,9138,1.0,1.0,34857,70.43,31.69
2015,6,2,Брянская область,6500.0,6500.0,1.3,5.0,618.4,9138,1.0,1.0,34857,70.43,31.69
2015,7,3,Брянская область,6500.0,6500.0,1.3,4.7,634.3,8733,1.0,1.0,34857,70.43,31.69
2015,8,3,Брянская область,6500.0,6500.0,1.3,4.7,634.3,8733,1.0,1.0,34857,70.43,31.69
2015,9,3,Брянская область,6500.0,6500.0,1.3,4.7,634.3,8733,1.0,1.0,34857,70.43,31.69
2015,10,4,Брянская область,6500.0,6500.0,1.2,4.0,627.9,8723,1.0,1.0,34857,70.43,31.69
2015,11,4,Брянская область,6500.0,6500.0,1.2,4.0,627.9,8723,1.0,1.0,34857,70.43,31.69
2015,12,4,Брянская область,6500.0,6500.0,1.3,4.0,627.9,8723,1.0,1.0,34857,70.43,31.69
2015,1,1,Владимирская область,5965.0,6000.0,1.2,5.7,745.6,9503,1.0,1.0,29084,78.24,34.75
2015,2,1,Владимирская область,5965.0,6000.0,1.3,5.7,745.6,9503,1.0,1.0,29084,78.24,34.75
2015,3,1,Владимирская область,5965.0,6000.0,1.3,5.7,745.6,9503,1.0,1.0,29084,78.24,34.75
2015,4,2,Владимирская область,5965.0,6000.0,1.3,4.5,751.2,9725,1.0,1.0,29084,78.24,34.75
2015,5,2,Владимирская область,5965.0,6000.0,1.4,4.5,751.2,9725,1.0,1.0,29084,78.24,34.75
2015,6,2,Владимирская область,5965.0,6000.0,1.3,4.5,751.2,9725,1.0,1.0,29084,78.24,34.75
2015,7,3,Владимирская область,5965.0,6000.0,1.3,5.2,776.6,9238,1.0,1.0,29084,78.24,34.75
2015,8,3,Владимирская область,5965.0,6000.0,1.3,5.2,776.6,9238,1.0,1.0,29084,78.24,34.75
2015,9,3,Владимирская область,5965.0,6000.0,1.2,5.2,776.6,9238,1.0,1.0,29084,78.24,34.75
2015,10,4,Владимирская область,5965.0,6000.0,1.2,6.8,766.6,8908,1.0,1.0,29084,78.24,34.75
2015,11,4,Владимирская область,5965.0,6000.0,1.3,6.8,766.6,8908,1.0,1.0,29084,78.24,34.75
2015,12,4,Владимирская область,5965.0,6000.0,1.4,6.8,766.6,8908,1.0,1.0,29084,78.24,34.75
2015,1,1,Воронежская область,5965.0,5965.0,1.0,4.7,1152.4,8185,1.0,1.0,52216,67.96,29.54
2015,2,1,Воронежская область,5965.0,5965.0,1.1,4.7,1152.4,8185,1.0,1.0,52216,67.96,29.54
2015,3,1,Воронежская область,5965.0,5965.0,1.1,4.7,1152.4,8185,1.0,1.0,52216,67.96,29.54
