iter	RMSE
0	0.5690882361
1	0.5467877185
2	0.5251575769
3	0.5085664482
4	0.4940552416
5	0.4836738611
6	0.4763101569
7	0.470370534
8	0.4635228059
9	0.4585124777
10	0.4545831225
11	0.4516592726
12	0.4487909221
13	0.4461039652
14	0.4436004372
15	0.4418808108
16	0.441108001
17	0.4402638781
18	0.4392081123
19	0.4383413862
20	0.4377369196
21	0.43672312
22	0.4358713366
23	0.4352845844
24	0.4351609561
25	0.4346400373
26	0.4343367163
27	0.4342026398
28	0.4338092594
29	0.4335695087
30	0.4334237879
31	0.4331865063
32	0.4329694352
33	0.4327593746
34	0.4326352928
35	0.4323705694
36	0.4322320359
37	0.4321490845
38	0.4321165135
39	0.4320988476
40	0.4319302515
41	0.431735199
42	0.4317005104
43	0.4316425941
44	0.4315575878
45	0.4315013012
46	0.4312848325
47	0.4312597565
48	0.4312460852
49	0.4310880974
50	0.4310601347
51	0.430989914
52	0.4309549907
53	0.4308742849
54	0.4308339591
55	0.4307519471
56	0.4307243246
57	0.4307076597
58	0.4306937391
59	0.430612637
60	0.4304652493
61	0.4303751724
62	0.4303067805
63	0.4302278222
64	0.4301791508
65	0.4301791508
66	0.430122804
67	0.4300037542
68	0.4299801174
69	0.4298406239
70	0.4298032911
71	0.4296975199
72	0.4294313537
73	0.4293939431
74	0.4293580953
75	0.4293511146
76	0.4291983113
77	0.4290266089
78	0.428955831
79	0.4288994472
80	0.4288705993
81	0.4287267653
82	0.4285809549
83	0.4285164639
84	0.4284083946
85	0.4281972537
86	0.4280321087
87	0.4278265628
88	0.4274940097
89	0.4272912114
90	0.4269396077
91	0.4264544828
92	0.4261420867
93	0.4259585064
94	0.4257189606
95	0.4253847842
96	0.4251724513
97	0.4249539644
98	0.4247257176
99	0.4244661086
100	0.4242938439
101	0.4240675618
102	0.4239022929
103	0.4237382535
104	0.42355781
105	0.423310715
106	0.4231140083
107	0.4229259729
108	0.4228255827
109	0.4226819671
110	0.4225385024
111	0.4223873268
112	0.4222465554
113	0.4220659497
114	0.4219416835
115	0.4217978766
116	0.4216773522
117	0.4215768189
118	0.4214700345
119	0.4213460281
120	0.4212041175
121	0.4210723349
122	0.4209662857
123	0.4208170068
124	0.4207365395
125	0.4206309002
126	0.4205600959
127	0.4204493581
128	0.4203346288
129	0.4202116903
130	0.420110759
