iter	Passed	Remaining
0	72	72204
1	148	73866
2	217	72403
3	284	70847
4	352	70141
5	409	67839
6	471	66871
7	531	65845
8	591	65103
9	647	64121
10	704	63311
11	765	62998
12	821	62363
13	880	62024
14	946	62163
15	1003	61722
16	1058	61231
17	1119	61072
18	1178	60855
19	1235	60553
20	1290	60169
21	1347	59914
22	1406	59734
23	1470	59817
24	1526	59551
25	1582	59265
26	1632	58846
27	1689	58663
28	1747	58496
29	1803	58306
30	1861	58185
31	1918	58034
32	1980	58034
33	2040	57980
34	2100	57900
35	2158	57801
36	2224	57890
37	2282	57778
38	2339	57638
39	2404	57696
40	2462	57608
41	2527	57656
42	2588	57618
43	2646	57493
44	2701	57331
45	2758	57204
46	2820	57182
47	2883	57189
48	2946	57182
49	3001	57026
50	3057	56898
51	3111	56721
52	3169	56639
53	3229	56575
54	3299	56693
55	3355	56568
56	3414	56496
57	3473	56413
58	3537	56421
59	3596	56338
60	3662	56385
61	3724	56341
62	3790	56375
63	3845	56241
64	3902	56139
65	3957	56005
66	4026	56067
67	4096	56151
68	4164	56187
69	4219	56057
70	4277	55966
71	4343	55981
72	4404	55925
73	4457	55778
74	4520	55758
75	4583	55721
76	4649	55738
77	4705	55626
78	4760	55499
79	4817	55400
80	4871	55266
81	4928	55177
82	4991	55150
83	5056	55140
84	5115	55063
85	5179	55051
86	5252	55121
87	5324	55180
88	5397	55244
89	5462	55233
90	5519	55138
91	5592	55195
92	5644	55048
93	5705	54993
94	5767	54946
95	5831	54915
96	5896	54893
97	5968	54934
98	6026	54851
99	6081	54732
100	6156	54797
101	6214	54711
102	6281	54701
103	6349	54700
104	6405	54595
105	6478	54641
106	6545	54631
107	6602	54533
108	6665	54483
109	6724	54407
110	6795	54422
111	6864	54427
112	6932	54413
113	6986	54296
114	7051	54268
115	7117	54243
116	7190	54264
117	7260	54267
118	7327	54248
119	7394	54229
120	7460	54199
121	7524	54152
122	7592	54132
123	7658	54101
124	7718	54031
125	7774	53929
126	7829	53819
127	7885	53718
128	7939	53610
129	8002	53557
130	8055	53438
131	8127	53444
132	8181	53336
133	8243	53276
134	8316	53286
135	8372	53190
136	8425	53075
137	8486	53009
138	8550	52965
139	8614	52918
140	8686	52917
141	8749	52863
142	8807	52785
143	8859	52662
144	8918	52590
145	8980	52530
146	9045	52490
147	9108	52435
148	9177	52415
149	9237	52345
150	9302	52303
151	9362	52231
152	9415	52122
153	9484	52105
154	9549	52061
155	9596	51918
156	9667	51906
157	9743	51925
158	9802	51846
159	9852	51726
160	9921	51701
161	9977	51613
162	10043	51570
163	10100	51488
164	10156	51396
165	10216	51329
166	10282	51287
167	10336	51190
168	10406	51171
169	10468	51111
170	10531	51057
171	10584	50955
172	10639	50860
173	10694	50766
174	10750	50678
175	10807	50598
176	10866	50524
177	10937	50507
178	10994	50425
179	11049	50335
180	11117	50305
181	11174	50222
182	11227	50124
183	11288	50062
184	11342	49970
185	11401	49895
186	11461	49831
187	11513	49729
188	11575	49669
189	11628	49574
190	11695	49539
191	11765	49512
192	11828	49457
193	11893	49415
194	11949	49328
195	12001	49229
196	12068	49192
